recommendation_id,gap_id,user_id,course_id,competency_id,rank,score,score_components,reason,learning_outcome_ids,remaining_gap_after_planned_learning,is_bridge,eligibility_mode,production_eligible,provenance,source_type,source_id,created_at,updated_at
REC-GAP-USR-001-CURRENT-COMP-002-CRS-001,GAP-USR-001-CURRENT-COMP-002,USR-001,CRS-001,COMP-002,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Digital Tools: current L2, required L3; activities ACT-001, ACT-002, ACT-003. Consider this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-001-01"", ""LO-001-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-001-TARGET-COMP-002-CRS-001,GAP-USR-001-TARGET-COMP-002,USR-001,CRS-001,COMP-002,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Digital Tools: current L2, required L3; activities ACT-001, ACT-002, ACT-003. Consider this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-001-01"", ""LO-001-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-005-CURRENT-COMP-013-CRS-002,GAP-USR-005-CURRENT-COMP-013,USR-005,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 10.0, ""level_match"": 5.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L4; activities ACT-009, ACT-010. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",1,1,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-005-TARGET-COMP-013-CRS-002,GAP-USR-005-TARGET-COMP-013,USR-005,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 10.0, ""level_match"": 5.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L4; activities ACT-009, ACT-010. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",1,1,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-013-CURRENT-COMP-013-CRS-002,GAP-USR-013-CURRENT-COMP-013,USR-013,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-021. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-013-TARGET-COMP-013-CRS-002,GAP-USR-013-TARGET-COMP-013,USR-013,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-021. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-019-CURRENT-COMP-013-CRS-002,GAP-USR-019-CURRENT-COMP-013,USR-019,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-029. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-019-TARGET-COMP-013-CRS-002,GAP-USR-019-TARGET-COMP-013,USR-019,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-029. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-020-CURRENT-COMP-013-CRS-002,GAP-USR-020-CURRENT-COMP-013,USR-020,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-034. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
REC-GAP-USR-020-TARGET-COMP-013-CRS-002,GAP-USR-020-TARGET-COMP-013,USR-020,CRS-002,COMP-013,1,77.0,"{""activity_relevance"": 10, ""competency_match"": 32.0, ""duplicate_penalty"": 0, ""gap_severity"": 5.0, ""level_match"": 10.0, ""prerequisites"": 5, ""role_relevance"": 15}","Statistical Data Management: current L2, required L3; activities ACT-034. Resume this documented iGOT course for supporting learning. Level/outcome alignment has SIMULATED trainer approval only. Course completion never awards a competency level.","[""LO-002-01"", ""LO-002-02""]",0,0,DEMO,0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
