competency_level_id,competency_id,level_no,level_name,level_description,source_id,provenance,source_type,created_at,updated_at
COMP-SAMPLING-L1,COMP-SAMPLING,1,Awareness,Explain the fundamental concepts of Sampling Methodology. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-SAMPLING-L2,COMP-SAMPLING,2,Basic Application,Apply standard methods with guidance in Sampling Methodology. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-SAMPLING-L3,COMP-SAMPLING,3,Independent Application,Perform routine work independently in Sampling Methodology. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-SAMPLING-L4,COMP-SAMPLING,4,Advanced,Evaluate complex cases and design stronger approaches in Sampling Methodology. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-SAMPLING-L5,COMP-SAMPLING,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Sampling Methodology. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002-L1,COMP-002,1,Awareness,Explain the fundamental concepts of Digital Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002-L2,COMP-002,2,Basic Application,Apply standard methods with guidance in Digital Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002-L3,COMP-002,3,Independent Application,Perform routine work independently in Digital Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002-L4,COMP-002,4,Advanced,Evaluate complex cases and design stronger approaches in Digital Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002-L5,COMP-002,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Digital Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003-L1,COMP-003,1,Awareness,Explain the fundamental concepts of Critical Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003-L2,COMP-003,2,Basic Application,Apply standard methods with guidance in Critical Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003-L3,COMP-003,3,Independent Application,Perform routine work independently in Critical Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003-L4,COMP-003,4,Advanced,Evaluate complex cases and design stronger approaches in Critical Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003-L5,COMP-003,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Critical Thinking. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004-L1,COMP-004,1,Awareness,Explain the fundamental concepts of Survey Data Collection. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004-L2,COMP-004,2,Basic Application,Apply standard methods with guidance in Survey Data Collection. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004-L3,COMP-004,3,Independent Application,Perform routine work independently in Survey Data Collection. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004-L4,COMP-004,4,Advanced,Evaluate complex cases and design stronger approaches in Survey Data Collection. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004-L5,COMP-004,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Survey Data Collection. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005-L1,COMP-005,1,Awareness,Explain the fundamental concepts of Communication. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005-L2,COMP-005,2,Basic Application,Apply standard methods with guidance in Communication. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005-L3,COMP-005,3,Independent Application,Perform routine work independently in Communication. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005-L4,COMP-005,4,Advanced,Evaluate complex cases and design stronger approaches in Communication. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005-L5,COMP-005,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Communication. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006-L1,COMP-006,1,Awareness,Explain the fundamental concepts of Sampling Frames and UFS. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006-L2,COMP-006,2,Basic Application,Apply standard methods with guidance in Sampling Frames and UFS. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006-L3,COMP-006,3,Independent Application,Perform routine work independently in Sampling Frames and UFS. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006-L4,COMP-006,4,Advanced,Evaluate complex cases and design stronger approaches in Sampling Frames and UFS. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006-L5,COMP-006,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Sampling Frames and UFS. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007-L1,COMP-007,1,Awareness,Explain the fundamental concepts of Geospatial Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007-L2,COMP-007,2,Basic Application,Apply standard methods with guidance in Geospatial Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007-L3,COMP-007,3,Independent Application,Perform routine work independently in Geospatial Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007-L4,COMP-007,4,Advanced,Evaluate complex cases and design stronger approaches in Geospatial Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007-L5,COMP-007,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Geospatial Tools. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008-L1,COMP-008,1,Awareness,Explain the fundamental concepts of Industrial Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008-L2,COMP-008,2,Basic Application,Apply standard methods with guidance in Industrial Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008-L3,COMP-008,3,Independent Application,Perform routine work independently in Industrial Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008-L4,COMP-008,4,Advanced,Evaluate complex cases and design stronger approaches in Industrial Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008-L5,COMP-008,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Industrial Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009-L1,COMP-009,1,Awareness,Explain the fundamental concepts of Statistical Analysis. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009-L2,COMP-009,2,Basic Application,Apply standard methods with guidance in Statistical Analysis. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009-L3,COMP-009,3,Independent Application,Perform routine work independently in Statistical Analysis. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009-L4,COMP-009,4,Advanced,Evaluate complex cases and design stronger approaches in Statistical Analysis. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009-L5,COMP-009,5,Expert / Strategic,Lead or guide advanced work and set strategic direction in Statistical Analysis. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-010-L1,COMP-010,1,Awareness,Explain the fundamental concepts of Price Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-010-L2,COMP-010,2,Basic Application,Apply standard methods with guidance in Price Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-010-L3,COMP-010,3,Independent Application,Perform routine work independently in Price Statistics. Project rubric; not officially validated.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
