activity_id,competency_id,required_level,priority,rationale,source_id,provenance,source_type,created_at,updated_at
ACT-001,COMP-SAMPLING,3,2,Listing and selecting sampling units requires Independent Application in Sampling Methodology under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-001,COMP-002,2,2,Listing and selecting sampling units requires Basic Application in Digital Tools under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-001,COMP-003,3,2,Listing and selecting sampling units requires Independent Application in Critical Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-002,COMP-004,3,2,Household/enterprise survey collection requires Independent Application in Survey Data Collection under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-002,COMP-005,3,2,Household/enterprise survey collection requires Independent Application in Communication under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-002,COMP-002,2,2,Household/enterprise survey collection requires Basic Application in Digital Tools under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-003,COMP-006,3,2,Updating/verifying UFS blocks requires Independent Application in Sampling Frames and UFS under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-003,COMP-007,3,2,Updating/verifying UFS blocks requires Independent Application in Geospatial Tools under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-003,COMP-002,3,2,Updating/verifying UFS blocks requires Independent Application in Digital Tools under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-004,COMP-008,3,2,Validating enterprise survey data requires Independent Application in Industrial Statistics under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-004,COMP-009,4,2,Validating enterprise survey data requires Advanced in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-004,COMP-003,3,2,Validating enterprise survey data requires Independent Application in Critical Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-005,COMP-010,3,2,Collecting/auditing price quotations requires Independent Application in Price Statistics under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-005,COMP-009,3,2,Collecting/auditing price quotations requires Independent Application in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-005,COMP-003,3,2,Collecting/auditing price quotations requires Independent Application in Critical Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-006,COMP-010,4,2,Compiling/validating price index data requires Advanced in Price Statistics under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-006,COMP-009,3,2,Compiling/validating price index data requires Independent Application in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-006,COMP-011,3,2,Compiling/validating price index data requires Independent Application in Statistical Computing under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-007,COMP-012,4,2,Compiling National Accounts/GVA data requires Advanced in National Accounts under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-007,COMP-009,4,2,Compiling National Accounts/GVA data requires Advanced in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-007,COMP-003,3,2,Compiling National Accounts/GVA data requires Independent Application in Critical Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-008,COMP-SAMPLING,4,2,Designing samples/calculating weights requires Advanced in Sampling Methodology under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-008,COMP-011,3,2,Designing samples/calculating weights requires Independent Application in Statistical Computing under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-008,COMP-009,4,2,Designing samples/calculating weights requires Advanced in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-009,COMP-011,3,2,Cleaning/anonymizing microdata requires Independent Application in Statistical Computing under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-009,COMP-013,3,2,Cleaning/anonymizing microdata requires Independent Application in Statistical Data Management under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-009,COMP-014,4,2,Cleaning/anonymizing microdata requires Advanced in Data Privacy and Disclosure Control under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-010,COMP-013,4,2,Publishing datasets and metadata requires Advanced in Statistical Data Management under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-010,COMP-015,4,2,Publishing datasets and metadata requires Advanced in Metadata and Dissemination under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-010,COMP-005,3,2,Publishing datasets and metadata requires Independent Application in Communication under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-011,COMP-SAMPLING,4,2,Supervising field sample implementation and coaching staff requires Advanced in Sampling Methodology under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-011,COMP-005,4,2,Supervising field sample implementation and coaching staff requires Advanced in Communication under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-011,COMP-016,3,2,Supervising field sample implementation and coaching staff requires Independent Application in Leadership under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-011,COMP-017,3,2,Supervising field sample implementation and coaching staff requires Independent Application in Collaboration under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-012,COMP-016,4,2,Planning statistical capability and cross-team delivery requires Advanced in Leadership under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-012,COMP-017,4,2,Planning statistical capability and cross-team delivery requires Advanced in Collaboration under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-012,COMP-018,4,2,Planning statistical capability and cross-team delivery requires Advanced in Strategic Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-013,COMP-009,4,2,Reviewing statistical quality and disclosure governance requires Advanced in Statistical Analysis under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-013,COMP-003,4,2,Reviewing statistical quality and disclosure governance requires Advanced in Critical Thinking under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-013,COMP-014,4,2,Reviewing statistical quality and disclosure governance requires Advanced in Data Privacy and Disclosure Control under the demo rubric.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ACT-014,COMP-019,4,3,Classify labour-force status: demonstrate Labour Statistics at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-014,COMP-023,3,2,Classify labour-force status: demonstrate Survey Design at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-015,COMP-019,4,3,Compile labour-market indicators: demonstrate Labour Statistics at project level 4.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
ACT-015,COMP-009,3,2,Compile labour-market indicators: demonstrate Statistical Analysis at project level 3.,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
