learning_outcome_id,course_id,description,sequence_no,approval_status,is_published_outcome,source_id,provenance,source_type,created_at,updated_at
LO-001-01,CRS-001,Build and independently check a spreadsheet summary of fictional survey records.,1,DEMO_APPROVED,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-001-02,CRS-001,Document spreadsheet validation steps and reproduce the summary.,2,DEMO_APPROVED,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-002-01,CRS-002,"Document a statistical dataset lifecycle with access, retention and versioning decisions.",1,DEMO_APPROVED,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-002-02,CRS-002,Identify data-management controls missing from a fictional handoff.,2,DEMO_APPROVED,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-101-01,CRS-101,Allocate a proportional stratified sample of 120 across populations of 800 and 400.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-101-02,CRS-101,Calculate inverse-probability weights and justify the sampling design.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-102-01,CRS-102,Identify three inconsistent records and distinguish source error from genuine variation.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-102-02,CRS-102,Write a documented decision trail for resolving a disputed outlier.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-104-01,CRS-104,Explain a survey purpose without implying mandatory disclosure beyond instructions.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-104-02,CRS-104,Conduct a neutral clarification exchange and document the response.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-108-01,CRS-108,Calculate a weighted mean from fictional unit records.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-108-02,CRS-108,Explain how missingness and outliers affect an estimate.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-109-01,CRS-109,Detect a unit mismatch in three price quotations.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-109-02,CRS-109,Calculate a fixed-basket index and explain its limitations.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-112-01,CRS-112,Identify direct and quasi-identifiers in a fictional microdata extract.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-112-02,CRS-112,Compare disclosure-risk reduction and information loss under two protections.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-113-01,CRS-113,"Produce a codebook containing units, missing-value codes and definitions.",1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-113-02,CRS-113,Prepare a release note explaining revisions and permitted interpretation.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-114-01,CRS-114,Allocate three review tasks with named fictional owners and completion criteria.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-114-02,CRS-114,Evaluate a coaching response against a four-part rubric.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-115-01,CRS-115,Resolve a conflicting variable definition in a simulated team handoff.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-115-02,CRS-115,Produce an agreed versioned handoff checklist.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-116-01,CRS-116,Prioritize three training investments against documented competency gaps.,1,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-116-02,CRS-116,Define measurable indicators and risks for a six-month capability plan.,2,PENDING_REVIEW,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
LO-003-01,CRS-003,Proposed project objective: Perform routine work independently in Communication. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-004-01,CRS-004,Proposed project objective: Apply standard methods with guidance in Data Privacy and Disclosure Control. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-005-01,CRS-005,Proposed project objective: Perform routine work independently in Data Privacy and Disclosure Control. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-006-01,CRS-006,Proposed project objective: Apply standard methods with guidance in Statistical Analysis. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-007-01,CRS-007,Proposed project objective: Perform routine work independently in Statistical Analysis. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-008-01,CRS-008,Proposed project objective: Perform routine work independently in Industrial Statistics. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-009-01,CRS-009,Proposed project objective: Perform routine work independently in Industrial Statistics. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-011-01,CRS-011,"Proposed project objective: Calculate weighted labour-force participation, worker-population and unemployment rates with documented denominators. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-011-02,CRS-011,Proposed project objective: Perform routine work independently in Price Statistics. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-012-01,CRS-012,"Proposed project objective: Compile and reconcile weighted crop estimates with uncertainty notes. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-013-01,CRS-013,"Proposed project objective: Produce a disaggregated indicator table with source, reference period and comparability notes. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-014-01,CRS-014,"Proposed project objective: Produce reproducible weighted analysis with diagnostic checks and session metadata. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-014-02,CRS-014,"Proposed project objective: Build an accessible visual narrative with uncertainty, units and source notes. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-014-03,CRS-014,Proposed project objective: Perform routine work independently in Statistical Computing. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,3,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-015-01,CRS-015,"Proposed project objective: Build a repeatable data pipeline with functions, tests and documented dependencies. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-015-02,CRS-015,"Proposed project objective: Build a leakage-controlled evaluation and document metrics, bias and limitations. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-016-01,CRS-016,Proposed project objective: Perform routine work independently in National Accounts. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-017-01,CRS-017,Proposed project objective: Perform routine work independently in Geospatial Tools. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-117-01,CRS-117,"Proposed project objective: Review query plans, constraints and aggregate reconciliation on larger data. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-117-02,CRS-117,Proposed project objective: Evaluate complex cases and design stronger approaches in Statistical Computing. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-117-03,CRS-117,"Proposed project objective: Prepare a reproducible quality report with checks, exceptions and corrective actions. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",3,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-118-01,CRS-118,"Proposed project objective: Review resilience, data-location constraints and secure deployment trade-offs. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-118-02,CRS-118,"Proposed project objective: Review versioning, authorization boundaries, performance and failure behavior. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-118-03,CRS-118,"Proposed project objective: Assess a local-service threat model and validate access, logging and patch controls. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",3,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-119-01,CRS-119,"Proposed project objective: Design proportionate quality gates and assess quality trade-offs across statistical processes. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",1,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-119-02,CRS-119,"Proposed project objective: Resolve semantic and versioning conflicts across exchanged statistical datasets. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",2,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-101-03,CRS-101,"Proposed project objective: Evaluate questionnaire validity, mode effects and pilot evidence to revise a design. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",3,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-101-04,CRS-101,Proposed project objective: Perform routine work independently in Sampling Frames and UFS. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,4,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-101-05,CRS-101,Proposed project objective: Perform routine work independently in Survey Data Collection. Project rubric; not officially validated. Alignment to this course/topic remains unverified.,5,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
LO-113-03,CRS-113,"Proposed project objective: Resolve semantic and versioning conflicts across exchanged statistical datasets. Prototype anchor, not an officially calibrated or certified level. Alignment to this course/topic remains unverified.",3,PENDING_REVIEW,0,SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
