course_id,competency_id,from_level,to_level,relevance_weight,approval_status,approval_basis,reviewer_id,reviewed_at,mapping_scope,production_approved,source_id,provenance,source_type,created_at,updated_at
CRS-001,COMP-002,2,3,0.8,APPROVED,SIMULATED_TRAINER_REVIEW,MOCK-TRAINER-001,2026-09-06T14:52:00Z,"Supporting spreadsheet skills only. L3 is a demo hypothesis, NOT a published iGOT outcome or award.",0,SRC-MOCK,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-002,COMP-013,2,3,0.8,APPROVED,SIMULATED_TRAINER_REVIEW,MOCK-TRAINER-001,2026-09-06T14:52:00Z,"Data-lifecycle support only; does not certify advanced statistical disclosure control. Demo hypothesis, not verified syllabus coverage.",0,SRC-MOCK,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-003,COMP-005,1,3,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-004,COMP-014,1,2,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-005,COMP-014,2,3,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-006,COMP-009,1,2,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-007,COMP-009,2,3,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-008,COMP-008,2,3,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-009,COMP-008,2,3,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-101,COMP-SAMPLING,2,4,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-102,COMP-003,2,4,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-104,COMP-005,2,4,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-108,COMP-009,2,4,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-109,COMP-010,2,4,0.5,PENDING_REVIEW,PROJECT_PROPOSAL,,,Proposed alignment; inspect syllabus and obtain trainer approval before real use.,0,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
